TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_REG;DT_CONST;DT_CANCEL;SIT;DT_INI_SIT;DT_INI_EXERC;DT_FIM_EXERC;CNPJ_ADMIN;ADMIN
F.I.I.;31.713.934/0001-02;APOLLO CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;19/12/2019;25/09/2018;;EM FUNCIONAMENTO NORMAL;26/12/2019;26/12/2019;30/06/2020;00.329.598/0001-67;ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
F.I.I.;14.069.202/0001-02;AQ3 RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;27/07/2012;28/07/2011;;EM FUNCIONAMENTO NORMAL;27/07/2012;01/01/2020;31/12/2020;00.329.598/0001-67;ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
F.I.I.;13.555.918/0001-49;AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO;15/08/2011;;;EM FUNCIONAMENTO NORMAL;15/08/2011;01/01/2020;31/12/2020;00.329.598/0001-67;ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
F.I.I.;33.133.112/0001-70;ARC FUNDO DE INVESTIMENTO IMOBILIÁRIO I - FII;14/05/2019;01/03/2019;;FASE PRÉ-OPERACIONAL;14/05/2019;;;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;14.149.745/0001-21;ARENA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;07/02/2012;16/08/2011;;EM FUNCIONAMENTO NORMAL;07/02/2012;01/01/2020;31/12/2020;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;12.401.858/0001-47;ATRIUM NAÇÕES UNIDAS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;15/08/2012;17/08/2010;;EM FUNCIONAMENTO NORMAL;15/08/2012;01/07/2019;30/06/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;35.765.826/0001-26;AUTONOMY EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;22/01/2020;18/10/2019;;FASE PRÉ-OPERACIONAL;22/01/2020;;;05.389.174/0001-01;MODAL  D.T.V.M. LTDA
F.I.I.;27.785.803/0001-55;BANDEIRANTES FUNDO DE INVESTIMENTO IMOBILIÁRIO;27/06/2017;08/05/2017;;FASE PRÉ-OPERACIONAL;27/06/2017;;;00.806.535/0001-54;PLANNER CORRETORA DE VALORES SA
F.I.I.;22.219.335/0001-38;BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO;30/06/2015;19/03/2015;;EM FUNCIONAMENTO NORMAL;30/06/2015;01/01/2020;31/12/2020;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;15.570.431/0001-60;BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII;11/09/2012;09/05/2012;;EM FUNCIONAMENTO NORMAL;11/09/2012;01/01/2020;31/12/2020;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
F.I.I.;28.267.555/0001-13;BASÍLICA PARTNERS LED CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;31/07/2017;30/06/2017;;EM FUNCIONAMENTO NORMAL;13/09/2019;01/01/2020;31/12/2020;13.673.855/0001-25;FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
F.I.I.;28.267.555/0001-13;BASÍLICA PARTNERS LED CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;31/07/2017;30/06/2017;;EM FUNCIONAMENTO NORMAL;13/09/2019;01/01/2020;31/12/2020;13.673.855/0001-25;FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
F.I.I.;28.267.555/0001-13;BASÍLICA PARTNERS LED CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;31/07/2017;30/06/2017;;EM FUNCIONAMENTO NORMAL;13/09/2019;01/01/2020;31/12/2020;13.673.855/0001-25;FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
F.I.I.;28.267.555/0001-13;BASÍLICA PARTNERS LED CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;31/07/2017;30/06/2017;;EM FUNCIONAMENTO NORMAL;13/09/2019;01/01/2020;31/12/2020;13.673.855/0001-25;FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
F.I.I.;07.000.400/0001-46;BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO;03/09/2004;;;EM FUNCIONAMENTO NORMAL;03/09/2004;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;14.410.722/0001-29;BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;23/08/2012;30/09/2011;;EM FUNCIONAMENTO NORMAL;23/08/2012;01/07/2019;30/06/2020;03.384.738/0001-98;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.
F.I.I.;20.716.161/0001-93;BB RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;12/09/2014;22/07/2014;;EM FUNCIONAMENTO NORMAL;12/09/2014;01/01/2020;31/12/2020;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A
F.I.I.;12.681.340/0001-04;BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;13/06/2011;;;EM FUNCIONAMENTO NORMAL;13/06/2011;01/01/2020;31/12/2020;03.384.738/0001-98;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.
F.I.I.;15.394.563/0001-89;BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;07/05/2012;13/04/2012;;EM FUNCIONAMENTO NORMAL;07/05/2012;01/01/2020;31/12/2020;03.384.738/0001-98;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.
F.I.I.;23.120.027/0001-13;BB RENDA DE PAPÉIS IMOBILIÁRIOS II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;28/12/2017;11/08/2015;;EM FUNCIONAMENTO NORMAL;27/04/2018;01/01/2020;31/12/2020;03.384.738/0001-98;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.
F.I.I.;27.339.287/0001-35;BERLIM FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;05/06/2017;03/03/2017;;FASE PRÉ-OPERACIONAL;05/06/2017;;;12.063.256/0001-27;MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
F.I.I.;27.339.287/0001-35;BERLIM FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;05/06/2017;03/03/2017;;FASE PRÉ-OPERACIONAL;05/06/2017;;;12.063.256/0001-27;MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
F.I.I.;27.339.287/0001-35;BERLIM FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;05/06/2017;03/03/2017;;FASE PRÉ-OPERACIONAL;05/06/2017;;;92.904.564/0001-77;ORLA DTVM S.A.
F.I.I.;27.339.287/0001-35;BERLIM FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;05/06/2017;03/03/2017;;FASE PRÉ-OPERACIONAL;05/06/2017;;;92.904.564/0001-77;ORLA DTVM S.A.
F.I.I.;31.145.875/0001-05;BFC FUNDO DE INVESTIMENTO IMOBILIÁRIO;12/09/2018;15/06/2018;;EM FUNCIONAMENTO NORMAL;29/10/2018;01/01/2020;31/12/2020;45.246.410/0001-55;PLURAL S.A. BANCO MULTIPLO
F.I.I.;18.289.950/0001-43;BIRD FUNDO DE INVESTIMENTO IMOBILIARIO - FII;31/07/2013;27/05/2013;;EM FUNCIONAMENTO NORMAL;31/07/2013;01/01/2020;31/12/2020;68.757.681/0001-70;SOLIDUS SA CCVM
F.I.I.;35.652.060/0001-73;BLUECAP RENDA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO -FII;27/01/2020;01/11/2019;;FASE PRÉ-OPERACIONAL;27/01/2020;;;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;34.081.637/0001-71;BlueMacaw Office Fund - Fundo de Investimento Imobiliário;13/11/2019;24/07/2019;;FASE PRÉ-OPERACIONAL;13/11/2019;;;22.610.500/0001-88;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
F.I.I.;34.895.894/0001-47;BLUEMACAW OFFICE FUND II - FUNDO DE INVESTIMENTO IMOBILIÁRIO;04/12/2019;10/09/2019;;EM FUNCIONAMENTO NORMAL;27/12/2019;01/01/2020;31/12/2020;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;21.067.825/0001-01;BPG LOGÍSTICA I FUNDO DE INVESTIMENTO IMOBILIÁRIO;31/07/2018;31/07/2018;;EM FUNCIONAMENTO NORMAL;20/08/2018;01/01/2020;31/12/2020;45.246.410/0001-55;PLURAL S.A. BANCO MULTIPLO
F.I.I.;21.044.600/0001-21;BPGB-001 FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;04/03/2015;18/08/2014;;EM FUNCIONAMENTO NORMAL;04/03/2015;01/01/2020;31/12/2020;45.246.410/0001-55;PLURAL S.A. BANCO MULTIPLO
F.I.I.;20.216.935/0001-17;BRADESCO CARTEIRA IMOBILIÁRIA ATIVA;19/05/2015;24/09/2014;;EM FUNCIONAMENTO NORMAL;19/05/2015;01/01/2020;31/12/2020;60.746.948/0001-12;BANCO BRADESCO S.A.
F.I.I.;26.452.092/0001-34;BRASIL INVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;28/06/2017;30/08/2016;;FASE PRÉ-OPERACIONAL;28/06/2017;;;15.489.568/0001-95;INTRADER DTVM LTDA
F.I.I.;22.081.808/0001-83;BRAZIL PROPERTIES INVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;20/04/2017;28/04/2015;;EM FUNCIONAMENTO NORMAL;17/08/2017;01/01/2020;31/12/2020;15.489.568/0001-95;INTRADER DTVM LTDA
F.I.I.;26.195.121/0001-20;BRAZIL REAL ESTATE VICTORY FUND I - FUNDO DE INVESTIMENTO IMOBILIARIO;22/09/2016;06/09/2016;;EM FUNCIONAMENTO NORMAL;20/10/2016;01/01/2020;31/12/2020;44.077.014/0001-89;BR-CAPITAL DTVM S.A.
F.I.I.;14.074.706/0001-02;BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;03/08/2016;22/07/2011;;EM FUNCIONAMENTO NORMAL;04/08/2016;01/01/2020;31/12/2020;00.329.598/0001-67;ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
F.I.I.;14.074.706/0001-02;BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;03/08/2016;22/07/2011;;EM FUNCIONAMENTO NORMAL;04/08/2016;01/01/2020;31/12/2020;00.329.598/0001-67;ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
F.I.I.;13.584.584/0001-31;BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;12/12/2011;;;EM FUNCIONAMENTO NORMAL;12/12/2011;01/01/2020;31/12/2020;00.806.535/0001-54;PLANNER CORRETORA DE VALORES SA
F.I.I.;32.000.013/0001-57;BRESCO GROWTH FUNDO DE INVESTIMENTO IMOBILIÁRIO;24/09/2019;29/10/2018;;EM FUNCIONAMENTO NORMAL;07/10/2019;01/01/2020;31/12/2020;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
F.I.I.;20.748.515/0001-81;BRESCO LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;13/07/2016;22/07/2014;;EM FUNCIONAMENTO NORMAL;05/08/2016;01/01/2020;31/12/2020;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
F.I.I.;35.507.743/0001-37;BRIO PRIME MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO;13/02/2020;31/10/2019;;FASE PRÉ-OPERACIONAL;13/02/2020;;;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;23.964.843/0001-03;BRIO REAL ESTATE II - FUNDO DE INVESTIMENTO IMOBILIÁRIO;23/12/2016;23/12/2015;;EM FUNCIONAMENTO NORMAL;06/07/2018;01/07/2019;30/06/2020;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;35.360.651/0001-77;BRIX FUNDO DE INVESTIMENTO IMOBILIÁRIO;07/11/2019;16/10/2019;;EM FUNCIONAMENTO NORMAL;08/11/2019;01/01/2020;31/12/2020;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;18.929.353/0001-36;BRL EDIFÍCIOS COMERCIAIS FII;02/01/2015;30/08/2013;;EM FUNCIONAMENTO NORMAL;02/01/2015;01/01/2020;31/12/2020;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;19.026.454/0001-60;BRL LAJES CORPORATIVAS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;29/12/2014;27/09/2013;;EM FUNCIONAMENTO NORMAL;29/12/2014;01/01/2020;31/12/2020;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;26.545.627/0001-11;BRL VI FUNDO DE INVESTIMENTO IMOBILIARIO;17/11/2016;18/10/2016;;EM FUNCIONAMENTO NORMAL;22/03/2017;01/01/2020;31/12/2020;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;22.104.821/0001-00;BTERRA FUNDO DE INVESTIMENTO IMOBILIÁRIO;23/02/2016;11/03/2015;;EM FUNCIONAMENTO NORMAL;17/05/2016;01/07/2019;30/06/2020;15.489.568/0001-95;INTRADER DTVM LTDA
F.I.I.;11.839.593/0001-09;BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;06/08/2010;;;EM FUNCIONAMENTO NORMAL;06/08/2010;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;11.839.593/0001-09;BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;06/08/2010;;;EM FUNCIONAMENTO NORMAL;06/08/2010;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;36.098.375/0001-83;BTSP I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;17/02/2020;10/01/2020;;FASE PRÉ-OPERACIONAL;17/02/2020;;;18.945.670/0001-46;INTER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS
F.I.I.;20.889.583/0001-60;CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO FUNCEF - FII;10/08/2015;15/07/2014;;FASE PRÉ-OPERACIONAL;10/08/2015;;;00.806.535/0001-54;PLANNER CORRETORA DE VALORES SA
F.I.I.;12.989.974/0001-29;CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA;29/03/2011;06/04/2011;;EM FUNCIONAMENTO NORMAL;29/03/2011;01/01/2020;31/12/2020;00.360.305/0001-04;CAIXA ECONOMICA FEDERAL
F.I.I.;15.254.249/0001-09;CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO VLT - VEICULO LEVE SOBRE TRILHOS - FII;12/06/2013;08/02/2012;;EM FUNCIONAMENTO NORMAL;12/06/2013;01/01/2020;31/12/2020;00.360.305/0001-04;CAIXA ECONOMICA FEDERAL
F.I.I.;17.098.794/0001-70;CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII;22/11/2013;24/10/2012;;EM FUNCIONAMENTO NORMAL;22/11/2013;01/01/2020;31/12/2020;00.360.305/0001-04;CAIXA ECONOMICA FEDERAL
F.I.I.;31.887.401/0001-39;CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II;05/11/2018;09/10/2018;;EM FUNCIONAMENTO NORMAL;18/04/2019;01/01/2020;31/12/2020;00.360.305/0001-04;CAIXA ECONOMICA FEDERAL
F.I.I.;31.887.401/0001-39;CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II;05/11/2018;09/10/2018;;EM FUNCIONAMENTO NORMAL;18/04/2019;01/01/2020;31/12/2020;00.360.305/0001-04;CAIXA ECONOMICA FEDERAL
F.I.I.;34.081.611/0001-23;CAPITÂNIA REIT FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO;09/10/2019;17/06/2019;;EM FUNCIONAMENTO NORMAL;23/12/2019;01/01/2020;31/12/2020;22.610.500/0001-88;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
F.I.I.;18.979.895/0001-13;CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;07/08/2014;12/09/2013;;EM FUNCIONAMENTO NORMAL;07/08/2014;01/01/2020;31/12/2020;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
F.I.I.;28.723.235/0001-20;CAPPINI RED 001 - FUNDO DE INVESTIMENTO IMOBILIÁRIO;27/09/2017;10/08/2017;;FASE PRÉ-OPERACIONAL;27/09/2017;;;15.489.568/0001-95;INTRADER DTVM LTDA
F.I.I.;28.278.783/0001-99;CAPPINI RED 002 - FUNDO DE INVESTIMENTO IMOBILIÁRIO;04/04/2018;25/04/2017;;FASE PRÉ-OPERACIONAL;04/04/2018;;;92.904.564/0001-77;ORLA DTVM S.A.
F.I.I.;20.118.470/0001-61;CASPER FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;08/05/2017;24/03/2014;;EM FUNCIONAMENTO NORMAL;30/06/2017;01/01/2020;31/12/2020;12.063.256/0001-27;MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
F.I.I.;20.118.470/0001-61;CASPER FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;08/05/2017;24/03/2014;;EM FUNCIONAMENTO NORMAL;30/06/2017;01/01/2020;31/12/2020;12.063.256/0001-27;MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
F.I.I.;17.144.039/0001-85;CASTELLO BRANCO OFFICE PARK FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;17/12/2012;01/11/2012;;EM FUNCIONAMENTO NORMAL;17/12/2012;01/01/2020;31/12/2020;61.809.182/0001-30;CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.
F.I.I.;27.882.272/0001-19;CATU FUNDO DE INVESTIMENTO IMOBILIÁRIO;26/06/2017;08/05/2017;;FASE PRÉ-OPERACIONAL;26/06/2017;;;00.806.535/0001-54;PLANNER CORRETORA DE VALORES SA
F.I.I.;27.882.272/0001-19;CATU FUNDO DE INVESTIMENTO IMOBILIÁRIO;26/06/2017;08/05/2017;;FASE PRÉ-OPERACIONAL;26/06/2017;;;00.806.535/0001-54;PLANNER CORRETORA DE VALORES SA
F.I.I.;26.502.761/0001-35;CATUAÍ FUNDO DE INVESTIMENTO IMOBILIÁRIO;28/08/2017;20/10/2016;;EM FUNCIONAMENTO NORMAL;22/09/2017;01/01/2020;31/12/2020;22.610.500/0001-88;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
F.I.I.;26.502.761/0001-35;CATUAÍ FUNDO DE INVESTIMENTO IMOBILIÁRIO;28/08/2017;20/10/2016;;EM FUNCIONAMENTO NORMAL;22/09/2017;01/01/2020;31/12/2020;22.610.500/0001-88;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
F.I.I.;20.118.507/0001-51;CEDRO - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;29/09/2015;24/03/2014;;EM FUNCIONAMENTO NORMAL;29/09/2015;01/01/2020;31/12/2020;24.361.690/0001-72;LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
F.I.I.;34.508.923/0001-70;CF2 FUNDO DE INVESTIMENTO IMOBILIÁRIO.;23/09/2019;24/07/2019;;EM FUNCIONAMENTO NORMAL;07/10/2019;01/01/2020;31/12/2020;22.610.500/0001-88;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
F.I.I.;18.950.957/0001-64;CHALLENGER FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;14/07/2014;26/08/2013;;EM FUNCIONAMENTO NORMAL;14/07/2014;01/01/2020;31/12/2020;03.384.738/0001-98;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.
F.I.I.;13.464.208/0001-03;CIBRASEC CRÉDITO IMOBILIÁRIO - FII;16/12/2011;31/03/2011;;EM FUNCIONAMENTO NORMAL;16/12/2011;01/01/2020;31/12/2020;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
F.I.I.;13.920.018/0001-53;CICA JUNDIAI - FUNDO DE INVESTIMENTO IMOBILIARIO;29/05/2013;16/06/2011;;EM FUNCIONAMENTO NORMAL;01/07/2013;01/01/2020;31/12/2020;15.489.568/0001-95;INTRADER DTVM LTDA
F.I.I.;18.874.965/0001-79;CIDADE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;09/12/2014;09/09/2013;;EM FUNCIONAMENTO NORMAL;09/12/2014;01/01/2020;31/12/2020;18.945.670/0001-46;INTER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS
F.I.I.;15.862.591/0001-83;CIDADE NOVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;19/10/2012;20/06/2012;;EM FUNCIONAMENTO NORMAL;21/05/2013;01/01/2020;31/12/2020;15.489.568/0001-95;INTRADER DTVM LTDA
F.I.I.;34.895.711/0001-93;CIVITAS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;16/10/2019;10/09/2019;;EM FUNCIONAMENTO NORMAL;29/11/2019;01/01/2020;31/12/2020;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;97.521.194/0001-02;CLARITAS LOGÍSTICA I - FUNDO DE INVESTIMENTO IMOBILIÁRIO;13/01/2012;05/07/2011;;EM FUNCIONAMENTO NORMAL;13/01/2012;01/01/2020;31/12/2020;01.522.368/0001-82;BANCO BNP PARIBAS BRASIL S/A
F.I.I.;31.772.231/0001-47;COLONIZADOR I FUNDO DE INVESTIMENTO IMOBILIARIO - FII;05/11/2018;25/10/2018;;EM FUNCIONAMENTO NORMAL;13/11/2018;01/01/2020;31/12/2020;00.806.535/0001-54;PLANNER CORRETORA DE VALORES SA
F.I.I.;35.705.542/0001-44;COLONIZADOR II FUNDO DE INVESTIMENTO IMOBILIÁRIO;30/12/2019;27/11/2019;;EM FUNCIONAMENTO NORMAL;28/01/2020;28/01/2020;31/12/2020;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
F.I.I.;32.134.257/0001-22;COSMOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;10/09/2019;05/10/2018;;EM FUNCIONAMENTO NORMAL;13/12/2019;13/12/2019;30/06/2020;00.329.598/0001-67;ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
